name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
Old Hall Lane,,,12,51,18,62,64,13,28,30,14,4,FALSE,TRUE,29,28,16,41,30,42,40,61,18,50,FALSE,TRUE,54,12,14,25,15,77,57,80,56,87,FALSE,FALSE,,pt_point
Burns Street,,,72,51,52,58,49,80,87,36,75,72,FALSE,FALSE,16,35,32,39,43,27,91,41,48,14,FALSE,TRUE,36,17,23,23,25,67,91,66,78,51,FALSE,FALSE,,pt_point
B & Q,,,79,41,59,38,39,79,76,87,76,78,FALSE,FALSE,76,25,39,18,31,79,66,83,69,70,FALSE,FALSE,86,10,27,7,15,92,72,90,88,91,FALSE,FALSE,,pt_point
Welwyn Close,,,41,49,30,80,78,64,75,94,12,80,FALSE,FALSE,60,81,78,80,89,65,85,94,13,90,FALSE,FALSE,80,72,66,64,82,88,85,93,51,94,FALSE,FALSE,,pt_point
Higher Barn Farm,,,2,42,19,47,34,0,0,0,1,1,TRUE,TRUE,17,59,37,52,57,1,0,1,2,0,FALSE,TRUE,36,40,26,35,39,18,11,18,34,22,FALSE,FALSE,,pt_point
Worrall Street,,,91,16,33,15,11,93,91,73,92,98,FALSE,FALSE,82,46,64,42,38,85,89,59,65,92,FALSE,FALSE,88,26,51,26,21,93,89,78,86,94,FALSE,FALSE,,pt_point
Copeland Drive,,,82,78,77,91,67,79,22,90,68,58,FALSE,FALSE,53,77,63,88,80,53,15,76,67,31,FALSE,FALSE,76,64,50,76,68,83,37,87,87,76,FALSE,FALSE,,pt_point
Monsall (Manchester Metrolink),,,69,0,4,3,0,70,60,67,61,71,FALSE,FALSE,86,0,4,1,0,85,67,84,66,88,FALSE,FALSE,89,0,6,0,0,93,73,90,87,93,FALSE,FALSE,,pt_point
Wood Top Avenue,,,84,96,95,98,95,42,16,76,40,35,FALSE,FALSE,28,86,81,90,88,10,25,71,16,5,FALSE,TRUE,53,79,69,78,80,48,45,85,54,35,FALSE,FALSE,,pt_point
Hallgate,,,99,47,70,82,13,100,95,97,96,100,FALSE,FALSE,87,51,55,84,33,87,96,93,91,64,FALSE,FALSE,90,32,41,69,17,94,95,93,96,90,FALSE,FALSE,,pt_point
Museum Of Science and Industry,,,98,91,91,91,83,89,77,88,70,90,FALSE,FALSE,100,97,98,98,45,98,84,97,79,98,FALSE,FALSE,96,95,97,97,27,96,85,95,92,96,FALSE,FALSE,,pt_point
Middleton Bus Station,,,91,69,63,75,65,93,95,46,90,88,FALSE,FALSE,36,51,42,55,59,44,96,45,80,22,FALSE,FALSE,62,32,29,38,41,79,95,69,92,66,FALSE,FALSE,,pt_point
Ince (Manchester) Rail Station,,,84,7,13,7,7,87,77,86,71,80,FALSE,FALSE,57,18,5,26,27,65,71,67,70,40,FALSE,FALSE,78,6,7,12,13,88,76,83,88,83,FALSE,FALSE,,pt_point
Foxholes Road,,,3,12,16,10,12,28,79,89,21,24,TRUE,TRUE,0,7,11,9,12,8,83,91,6,4,TRUE,TRUE,2,2,11,2,5,44,84,92,45,33,TRUE,TRUE,,pt_point
Belfry House Hotel,,,1,31,29,43,26,9,16,8,9,17,TRUE,TRUE,9,61,62,60,63,15,14,9,7,27,TRUE,TRUE,22,42,48,43,46,54,37,46,45,72,FALSE,TRUE,,pt_point
Rowlands Road,,,43,95,99,75,95,3,3,3,3,2,FALSE,FALSE,51,93,90,78,97,4,5,2,19,7,FALSE,FALSE,75,89,84,62,93,38,26,30,57,38,FALSE,FALSE,,pt_point
Tan House Lane,,,66,96,92,90,98,51,30,23,64,59,FALSE,FALSE,38,89,78,88,99,33,23,8,62,32,FALSE,FALSE,64,84,65,74,95,71,44,46,85,77,FALSE,FALSE,,pt_point
Broadstone Road,,,36,93,81,97,95,18,20,19,20,14,FALSE,FALSE,40,90,69,96,96,22,14,11,34,24,FALSE,FALSE,66,85,56,90,92,63,37,48,71,69,FALSE,FALSE,,pt_point
Briar Hill Avenue,,,31,4,3,3,18,33,33,37,44,29,FALSE,FALSE,56,3,1,4,13,64,57,65,43,59,FALSE,FALSE,78,1,3,1,5,88,67,82,75,89,FALSE,FALSE,,pt_point
Walkden Town Centre,,,21,44,28,38,66,26,95,27,28,20,FALSE,TRUE,49,44,42,46,47,57,95,57,32,50,FALSE,FALSE,73,24,29,29,29,85,94,77,69,87,FALSE,FALSE,,pt_point
Science Museum,,,100,97,98,94,88,90,84,90,72,92,FALSE,FALSE,100,99,100,99,48,98,89,98,82,99,FALSE,FALSE,97,97,99,99,31,97,89,96,93,96,FALSE,FALSE,,pt_point
